,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4622,FRA,France,2020-04-20,112606,785,19718,395,1725.141,12.026,302.08299999999997,6.051,,,,,
4623,FRA,France,2020-04-21,114657,2051,20265,547,1756.5620000000001,31.421999999999997,310.46299999999997,8.38,595154.0,,9.118,,tests performed
4624,FRA,France,2020-04-22,117324,2667,20796,531,1797.421,40.859,318.598,8.135,,,,,
4625,FRA,France,2020-04-23,119151,1827,21340,544,1825.411,27.99,326.932,8.334,,,,,
4626,FRA,France,2020-04-24,120804,1653,21856,516,1850.735,25.324,334.837,7.905,,,,,
4627,FRA,France,2020-04-25,122577,1773,22245,389,1877.898,27.163,340.79699999999997,5.96,,,,,
4628,FRA,France,2020-04-26,124114,1537,22614,369,1901.445,23.546999999999997,346.45,5.653,,,,,
4629,FRA,France,2020-04-27,124575,461,22856,242,1908.5079999999998,7.063,350.157,3.707,,,,,
4630,FRA,France,2020-04-28,125770,1195,23293,437,1926.815,18.308,356.852,6.695,,,,,
4631,FRA,France,2020-04-29,126835,1065,23660,367,1943.131,16.316,362.475,5.622000000000001,,,,,
